,traffic_x,traffic_y,traffic_x_km,traffic_y_km,traffic_area,place_name
0,-75.14012752313228,45.404778281807886,-8364.674136002608,5039.930389280676,1362.4466837772718,Clarence-Rockland
1,-75.14174806224395,45.40503112995962,-8364.854536037059,5039.958455425518,878.4101520206183,Clarence-Rockland
2,-75.1420734851054,45.40618779572248,-8364.890762435418,5040.086845325195,586.706285300291,Clarence-Rockland
3,-75.83528941258628,44.91868540387646,-8442.060252698517,4985.974079830287,12863.691805896746,Merrickville-Wolford
4,-75.81522687271108,44.95410573794374,-8439.82687069707,4989.905736911755,497.33342282424655,Merrickville-Wolford
5,-75.91158595968305,45.30260970442974,-8450.553660617878,5028.589677191701,24471.461036447778,Kanata
6,-75.91347503219447,45.31036447204456,-8450.76395405892,5029.450456396947,19332.308759002553,Kanata
7,-75.90775349419707,45.29846576088603,-8450.127026727512,5028.12969945835,12527.670641447034,Kanata
8,-75.92746212872795,45.29574639339343,-8452.321011632124,5027.827849666671,7132.982488159569,Kanata
9,-75.92874304191996,45.297736368364696,-8452.463604169572,5028.0487368884815,6059.079209433281,Kanata
10,-75.9264996284886,45.29786837724423,-8452.21386514298,5028.063389874109,5936.415241871308,Kanata
11,-75.92846089433237,45.29689367971391,-8452.432195217974,5027.955198448244,3760.455521316061,Kanata
12,-75.92818933282939,45.29636166023331,-8452.4019647199,5027.896144285897,3563.0317200081067,Kanata
13,-75.90044284086233,45.31103772134551,-8449.313197487634,5029.525187069351,3261.933313573783,Kanata
14,-75.91360753783195,45.35982090322331,-8450.77870471899,5034.940120257787,2096.379639834265,Kanata
15,-74.79513503329935,45.006414654774204,-8326.269227041916,4995.712026679937,64784.42863970857,Cornwall
16,-74.7327051130357,45.01209789542324,-8319.319465888248,4996.342866391979,2122.815928875112,Cornwall
17,-76.13725866256412,45.1339559343889,-8475.675771575301,5009.869108717168,951.8874868664831,Carleton Place
18,-76.13663045922712,45.134234081672275,-8475.605839351621,5009.899983065623,529.0994561273337,Carleton Place
19,-76.14970094599093,45.15274196130546,-8477.060859008656,5011.954357704906,272.18074655271664,Carleton Place
20,-74.7409279776666,45.00181492034797,-8320.234843401824,4995.201456158625,114.5731540137385,Cornwall Island / Kawehnò:ke
21,-75.09259861900095,45.32063161212311,-8359.383170865805,5030.590108945665,911.7206343328772,Casselman
22,-75.09225680870257,45.31862726166399,-8359.345120201579,5030.367626044703,888.936645880015,Casselman
23,-75.68216831151801,45.40336796382546,-8425.014658606497,5039.773843984626,1147.5388108598495,The Glebe
